,ID,name,long,lat,location
145,C0F990,橫山 (Hengshan) (撤銷站),120.6073,24.2191,臺中市大雅區橫山通山路46號(台中高爾球場辦公室後面)
146,C0F900,雙崎 (Shuangqi) (撤銷站),120.9042,24.2885,臺中市和平區自由里東崎路2段116號內
147,C0F920,石岡 (Shigang) (撤銷站),120.7702,24.2801,臺中市石岡區石岡里豐勢路1238號(石岡壩管理中心內)
148,467410,臺南 (TAINAN),120.2047,22.9932,臺南市中西區公園路21號
149,467420,永康 (YONGKANG),120.2367,23.0383,臺南市永康區鹽行里正南五街520巷88號
150,467780,七股 (QIGU) (撤銷站),120.0861,23.1470,臺南市七股區鹽埕237-11號
151,C0O810,曾文 (Cengwen),120.4973,23.2196,臺南市楠西區曾文新村(曾文水庫管理局內)
152,C0O830,北寮 (Beiliao),120.4950,23.0795,臺南市南化區北寮里48-4號
153,C0O840,王爺宮 (Wangyegong),120.4008,23.2220,臺南市六甲區王爺里24號（六甲國小湖東分校）
154,C0O860,大內 (Danei),120.3608,23.1188,臺南市大內區74201大內里63號(大內國民小學)
155,C0O900,善化 (Shanhua),120.2972,23.1128,臺南市善化區益民寮60號(亞洲蔬菜研究發展中心內)
156,C0O930,玉井 (Yujing),120.4605,23.1260,臺南市玉井區台灣糖業公司玉井糖廠
157,C0O950,安南 (Annan),120.1448,23.0766,臺南市安南區公學路6段589號(學東國民小學內)
158,C0O960,崎頂 (Qiding),120.3693,22.9595,臺南市龍崎區中坑里5鄰13號
159,C0O970,虎頭埤 (Hutoupi),120.3478,23.0213,臺南市新化區口埤18號(新化分場)
160,C0O980,新市 (Xinshi),120.2981,23.0616,臺南市新化區口埤18號(新化分場)
161,C0O990,媽廟 (Mamiao),120.2981,23.0616,臺南市新市區永就里53號(番子寮農場)
162,C0X050,東河 (Donghe),120.3856,23.2965,臺南市東山區東河里54號(東河水利工作站)
163,C0X060,下營 (Xiaying),120.2562,23.2269,臺南市下營區仁里里下營國小附近
164,C0X080,佳里 (Jiali),120.1450,23.1730,臺南市佳里區西方之埔尾，近七股區之篤加
165,C0X100,臺南市北區 (Beiqu Tainan City),120.1942,23.0103,臺南市佳里區西方之埔尾，近七股區之篤加
166,C0X110,臺南市南區 (Nanqu Tainan City),120.1883,22.9611,臺南市北區文賢路678號(和緯消防分隊)
167,C0X120,麻豆 (Madou),120.2486,23.1832,臺南市南區明興路2號(南區區公所)
168,C0X130,官田 (Guantian),120.2486,23.1832,臺南市麻豆區興國路9號(麻豆消防分隊5樓頂)
169,C0X140,西港 (Xigang),120.3154,23.1932,臺南市官田區中山路一段132號(官田區公所)
170,C0X150,安定 (Anding),120.2031,23.1256,臺南市西港區中山路450號(西港消防分隊4樓頂)
171,C0X160,仁德 (Rende),120.2576,22.9682,臺南市安定區南安里33-11號(安定消防分隊)
172,C0X170,關廟 (Guanmiao),120.3277,22.9630,臺南市關廟區中正路998號(關廟區公所3樓頂)
173,C0X180,山上 (Shanshang),120.3632,23.0757,臺南市山上區豐德里隙子口5之1號(中油豐德供油中心2樓頂)
174,C0X190,安平 (Anping),120.1521,22.9931,臺南市安平區城平路2號(台江國家公園管理處)
175,C0X200,左鎮 (Zuozhen),120.4085,23.0567,臺南市安平區城平路2號(台江國家公園管理處)
176,C0X210,白河 (Baihe),120.4144,23.3474,臺南市白河區中山路6號(白河消防分隊)
177,C0X220,學甲 (Xuejia),120.1821,23.2303,臺南市白河區中山路6號(白河消防分隊)
178,C0X230,鹽水 (Yanshui),120.2476,23.2726,臺南市鹽水區竹埔里1號(竹埔派出所)
179,C0X240,關子嶺 (Guanziling),120.5080,23.3311,臺南市鹽水區竹埔里1號(竹埔派出所)
180,C0X250,新營 (Xinying),120.3166,23.3106,臺南市白河區關嶺里94-3號(仙草國小關嶺分校)
181,C0X260,後壁 (Houbi),120.3623,23.3663,臺南市後壁區後壁里129號(後壁圖書館)
182,C0X280,將軍 (Jiangjun),120.3623,23.3663,臺南市後壁區後壁里129號(後壁圖書館)
183,C0X290,北門 (Beimen),120.1357,23.2677,臺南市將軍區將貴里58號(將軍國小)
184,C0X300,鹿寮 (Luliao),120.4773,23.3860,臺南市白河區崎內里12號(鹿寮水庫)
185,C0X310,七股 (Qigu),120.4773,23.3860,臺南市白河區崎內里12號(鹿寮水庫)
186,C0X320,柳營 (Liuying),120.0862,23.2533,臺南市七股區鹽埕237-11號(氣象局七股雷達站區內)
187,C1N001,沙崙 (Shalun),120.3094,22.9354,臺南市歸仁區沙崙里184號北沙崙農場
188,C1O921,楠西 (Nanxi),120.4840,23.1835,臺南市楠西區中興路107號(楠西國民中學內)
189,C1O940,東山服務區 (Dongshan Service Area),120.3984,23.2860,臺南市國道3號北向319.9K
190,C1O850,環湖 (Huanhu),120.4186,23.1486,臺南市國道3號北向319.9K
191,C1O870,大棟山 (Dadongshan),120.5222,23.3115,臺南市白河區大棟山三角點
192,C1O880,關山 (Guanshan),120.5940,23.1733,臺南市白河區大棟山三角點
193,C1X040,東原 (Dongyuan),120.4638,23.2915,臺南市東山區高原里4鄰31號後方果園
194,C1X050,東河 (Donghe) (撤銷站),120.3853,23.2968,臺南市東山區東河里吉貝耍64號(東河水利工作站)
195,C1X060,下營 (Shiaying) (撤銷站),120.2562,23.2269,臺南市下營區仁里里下營國小附近
196,C1X070,北門 (Beimen) (撤銷站),120.2562,23.2682,臺南市下營區仁里里下營國小附近
197,C1X090,七股 (Ciguliao) (撤銷站),120.1460,23.1418,臺南市北門區北門里舊悜119號(北門電信局後方觀測坪)
198,C1X010,岸內 (Annei) (撤銷站),120.2605,23.3298,臺南市七股區昭明國中後方
199,C1X030,白河 (Baihe) (撤銷站),120.4290,23.3251,臺南市鹽水區岸內里96號
200,C1O920,楠西 (Nanxi) (撤銷站),120.4844,23.1832,臺南市楠西區中興路107號(楠西國民中學內)
201,C1O860,大內 (Danei) (撤銷站),120.3614,23.1201,臺南市大內區74201大內里63號(大內國民小學)
202,C1O950,和順 (Heshun) (撤銷站),120.1447,23.0765,臺南市安南區公學路6段589號(學東國民小學分校內)
203,C1O960,崎頂 (Ciding) (撤銷站),120.3689,22.9596,臺南市安南區公學路6段589號(學東國民小學分校內)
204,C1O970,虎頭埤 (Hutoupi) (撤銷站),120.3478,23.0213,臺南市新化區口埤18號(新化分場)
205,C1O980,新市 (Xinshi) (撤銷站),120.2986,23.0621,臺南市新市區永就里53號(番子寮農場)
206,C1O990,媽廟 (Mazumiao) (撤銷站),120.2933,22.9915,臺南市歸仁區中正北路3段60號(保西國民小學內)
207,C1O820,左鎮 (Zuojhen) (撤銷站),120.4041,23.0551,臺南市左鎮區71301中正里7號(左鎮國民小學內)
208,C1O830,北寮 (Beiliao) (撤銷站),120.4944,23.0796,臺南市南化區北寮里48-4號
209,C1O840,王爺宮 (Wangyegong) (撤銷站),120.3992,23.2207,臺南市南化區北寮里48-4號
210,C1N000,沙崙 (Shalun) (撤銷站),120.3092,22.9357,臺南市歸仁區沙崙里184號北沙崙農場
211,C0X270,柳營 (Liuying) (撤銷站),120.3735,23.2572,臺南市柳營區果毅里61號(果毅國小)
212,C0X020,關子嶺 (Guanzihling) (撤銷站),120.5115,23.3270,臺南市白河區關嶺里
213,C0O910,新營 (Sinying) (撤銷站),120.3215,23.2922,臺南市柳營區73603太康里一號(太康段523-12號)
214,467440,高雄 (KAOHSIUNG) (撤銷站),120.3157,22.5659,高雄市前鎮區明孝里26鄰漁港南二路2號
215,467441,高雄 (Kaohsiung),120.3123,22.7305,高雄市楠梓區德民路28號
216,C0V210,復興 (Fuxing),120.8060,23.2224,高雄市桃源區復興里復興巷1鄰15號
217,C0V250,甲仙 (Jiasian),120.5917,23.0801,高雄市甲仙區(甲仙國民中學操場後方小山丘上)
218,C0V260,月眉 (Yuemei),120.5398,22.9710,高雄市杉林區月眉里山仙路1號月眉農場
219,C0V310,美濃 (Meinong),120.5191,22.8987,高雄市美濃區福安里中山路二段204巷65號(美濃區福安國小後方)
220,C0V350,溪埔 (XIPU),120.4467,22.7385,高雄市大樹區溪埔里之台29線近83K處
221,C0V360,內門 (Neimen),120.4667,22.9754,高雄市內門區木柵里木柵3號（木柵國民小學）
222,C0V370,古亭坑 (Gutingkeng),120.4019,22.8931,高雄市田寮區古亭里
223,C0V400,阿公店 (Agongdian),120.3555,22.8041,高雄市燕巢區西燕里工程路1號（阿公店水庫內）
224,C0V530,阿蓮 (Alian),120.3275,22.8832,高雄市阿蓮區阿蓮里民生路94號(阿蓮區公所)
225,C0V610,梓官 (Ziguan),120.2672,22.7605,高雄市梓官區梓官路258號(梓官區公所)
