,ID,name,long,lat
299,C0C660,楊梅 (Yangmei),121.2146,24.8975
300,C0C670,龍潭 (Longtan),121.1430,24.9123
301,C0C680,龜山 (Guishan),121.2213,24.8700
302,C0C700,中壢 (Zhongli),121.3865,25.0284
303,C0C710,大溪永福 (Yongfu Daxi),121.2563,24.9776
304,C0C720,竹圍 (JHUWEI),121.3249,24.8929
305,C0C730,中大臨海站 (JHONGDA COASTAL),121.2398,25.1126
306,C0C740,觀音工業區 (GUANYIN INDUSTRIAL),121.0085,24.9661
307,C0C590,觀音 (Guanyin),121.1148,25.0647
308,C0C620,蘆竹 (Luzhu),121.1533,25.0270
309,C0C630,大溪 (Dasi),121.2657,25.0842
310,C1C510,水尾 (Shueiwei),121.2655,24.8828
311,C1C620,蘆竹 (Lujhu) (撤銷站),121.0871,24.9400
312,C1C490,八德 (Bade) (撤銷站),121.2707,25.0859
313,C1C500,楊梅 (Yangmei) (撤銷站),121.2915,24.9270
314,C0C640,龜山 (Gueishan) (撤銷站),121.1482,24.9209
315,C0C610,龍潭 (Longtan) (撤銷站),121.3757,25.0303
316,C0C500,楊梅 (Yangmei) (撤銷站),121.2164,24.8567
317,C0C520,中壢 (Zhongli) (撤銷站),121.1482,24.9208
318,C0C540,大園 (Dayuan) (撤銷站),121.1852,24.9675
319,C0C570,新屋 (Sinwu) (撤銷站),121.2259,25.0477
320,C0C450,新屋 (Sinwu) (撤銷站),121.0475,25.0075
321,C0D660,新竹市東區 (Dongqu Hsinshu City),120.9869,24.7986
322,C0D670,海天一線 (HAITIANYISIAN),120.9869,24.7986
323,C0D680,香山濕地 (SIANGSHAN WETLAND),120.9144,24.8319
324,C0D570,香山 (Siangshan) (撤銷站),120.9149,24.7835
325,467571,新竹 (HSINCHU),121.0142,24.8278
326,C0D360,梅花 (Meihua),121.0142,24.8278
327,C0D390,關西 (Guanxi),121.2085,24.6783
328,C0D430,峨眉 (Emei),121.1739,24.7982
329,C0D480,打鐵坑 (Datiekeng),121.0171,24.6905
330,C0D540,橫山 (Hengshan),121.1507,24.8496
331,C0D550,雪霸 (Xueba),121.1169,24.7111
332,C0D560,竹東 (Zhudong),121.1160,24.5269
333,C0D580,寶山 (Baoshan),121.0578,24.7671
334,C0D590,新豐 (Sinfong),121.0251,24.7350
335,C0D650,湖口 (Hukou),120.9772,24.8706
336,C0D690,外湖 (WAIHU),121.0436,24.9047
337,C1D380,新埔 (Sinpu),120.9687,24.9177
338,C1D400,鳥嘴山 (Niaozueishan),121.0383,24.8474
339,C1D410,白蘭 (Bailan),121.2838,24.7190
